City,Sex,Strata,Age,Occupation,Education,Civic_Status,Home_Structure,Income_Level,TD1,TD2,TD3,TD4,Aut1,Aut2,Aut3,Aut4,Aut5,Aut6,Aut7
8,2,3,23,1,3,5,6,3,6,5,5,5,6,5,6,5,6,6,6
7,1,1,27,2,4,1,2,1,10,1,10,10,10,10,10,10,10,10,10
1,1,2,18,3,2,1,7,2,9,1,10,10,1,1,1,1,1,1,5
7,2,3,26,6,3,5,6,2,7,3,8,8,7,7,7,7,7,7,7
1,2,2,36,6,4,2,6,2,4,9,5,5,7,7,7,6,7,6,5
7,2,3,23,7,5,1,2,2,10,2,10,10,1,10,1,1,1,1,1
8,2,3,20,2,4,1,2,1,9,9,4,7,8,8,9,9,8,5,7
5,2,3,26,8,3,2,7,2,4,1,5,5,1,1,1,1,1,1,1
2,2,2,51,6,1,5,6,3,6,7,5,7,2,2,2,2,2,2,2
1,1,3,23,4,2,1,2,1,4,4,8,6,6,6,5,8,8,8,3
1,2,3,36,7,5,5,7,2,10,3,10,5,1,1,1,1,1,1,1
6,2,3,23,2,4,1,2,1,8,6,9,6,5,5,5,6,5,5,5
1,1,3,52,8,3,1,8,2,6,3,7,9,5,5,5,5,5,5,5
7,2,2,37,6,3,5,6,2,10,7,10,10,1,5,6,6,5,5,1
1,1,2,25,5,3,2,5,3,6,9,6,6,8,8,7,7,10,8,7
6,2,3,29,6,5,1,8,2,5,9,3,9,9,9,9,6,6,7,10
1,1,3,23,8,2,1,1,2,9,10,6,6,5,5,5,5,5,5,5
1,2,2,24,6,3,2,7,2,10,9,10,10,10,10,10,10,10,9,10
7,1,3,24,3,3,1,8,2,7,7,6,9,7,6,7,6,7,1,7
1,2,3,24,1,5,4,4,1,10,10,10,10,9,9,9,9,9,10,9
1,1,3,20,4,2,1,2,1,10,4,7,4,4,3,4,3,3,3,4
1,2,2,36,6,3,1,2,2,5,5,5,10,5,6,2,2,5,5,5
1,2,3,29,2,4,1,5,1,10,1,6,10,5,7,5,1,5,1,7
8,1,2,42,6,2,5,6,3,10,10,6,10,5,10,10,5,1,5,1
8,2,3,26,3,4,1,3,1,5,5,7,8,4,3,3,2,5,2,3
1,2,3,26,4,6,1,2,2,10,10,9,9,7,4,4,4,10,7,6
1,1,2,30,4,3,1,3,1,2,8,8,6,4,7,2,3,5,4,4
4,1,2,54,6,4,2,6,3,10,10,7,10,1,10,1,1,1,1,1
1,1,3,21,7,2,1,8,3,8,8,8,3,1,8,1,1,1,8,1
1,2,1,21,2,4,1,3,1,10,10,10,10,10,9,5,1,10,10,10
1,1,2,41,6,2,4,8,2,5,1,7,7,1,2,1,1,1,1,1
1,2,2,19,2,4,1,2,1,6,1,7,7,7,1,1,1,6,1,1
3,2,2,39,7,2,2,6,1,9,9,10,10,7,5,8,9,10,5,5
1,1,2,19,6,2,1,2,2,8,9,7,9,7,7,8,8,7,8,7
1,1,2,25,2,3,1,2,1,8,2,10,10,5,8,8,8,6,8,8
3,2,3,29,6,5,5,7,3,10,5,10,10,1,6,5,1,1,1,7
2,2,3,26,8,2,1,2,2,10,1,8,7,3,3,4,4,3,4,6
6,1,3,19,2,4,1,8,1,6,9,6,6,1,1,1,2,1,1,1
1,2,3,26,3,4,1,2,2,10,8,9,9,6,9,3,6,9,9,9
6,2,3,30,8,5,2,5,2,6,5,5,10,10,10,1,4,10,1,8
1,2,3,21,2,4,1,2,1,9,10,6,9,8,8,4,4,8,8,8
1,2,2,28,8,4,2,5,3,10,1,10,10,10,10,1,5,10,5,10
1,1,3,37,6,1,2,7,2,7,5,9,8,2,3,1,3,1,1,1
1,2,1,44,6,2,1,4,2,7,2,4,7,1,1,1,1,1,1,1
1,2,2,33,7,5,1,3,2,10,10,10,10,10,10,10,10,10,10,10
1,2,3,27,1,3,2,6,3,1,5,2,10,8,8,1,8,8,4,1
2,1,3,22,2,4,1,1,1,10,5,10,10,6,10,1,5,8,1,8
1,1,3,28,6,4,1,2,3,10,10,8,10,4,2,3,3,6,7,6
2,1,1,38,6,2,2,6,1,4,9,1,10,3,5,10,5,6,1,6
7,2,2,50,8,3,4,4,2,5,7,1,9,6,6,3,2,6,2,6
2,2,3,26,2,4,5,5,1,9,10,9,9,5,7,7,8,4,8,8
1,1,2,37,7,2,5,6,2,5,5,3,3,2,2,2,2,2,2,2
1,2,3,26,6,4,1,3,3,9,8,9,10,8,6,3,7,8,7,7
6,2,3,45,1,5,4,2,1,9,10,8,10,1,1,1,1,1,1,1
1,2,3,40,6,3,5,6,2,5,5,4,5,5,5,4,5,5,4,5
3,2,3,32,4,3,5,6,2,8,2,3,7,8,6,3,6,6,3,6
1,1,3,27,8,5,1,2,2,10,5,8,10,5,1,1,2,5,5,5
1,2,3,26,2,4,1,2,2,6,8,6,9,7,7,9,1,6,6,8
5,1,3,50,9,2,4,3,2,8,8,7,8,7,7,2,7,1,8,7
6,1,2,27,8,3,1,2,2,8,9,4,10,8,9,2,6,8,2,8
1,2,3,28,4,3,1,5,3,9,10,8,10,5,7,5,6,4,4,6
1,1,2,23,7,2,5,2,3,4,9,6,8,8,1,6,5,10,7,8
4,1,3,50,6,3,5,6,2,10,9,10,10,7,5,6,6,5,6,4
1,2,2,41,1,3,2,6,3,7,6,6,5,7,8,7,8,8,8,7
1,1,2,28,6,3,5,5,3,10,10,10,10,5,5,5,5,5,5,5
7,2,2,27,6,4,1,8,2,7,5,7,3,5,5,5,5,5,5,5
1,1,3,52,4,2,4,8,3,6,2,9,10,1,1,1,1,1,1,1
1,2,1,23,3,3,1,4,2,5,5,9,10,2,1,1,1,1,1,1
1,1,2,22,4,4,1,2,1,5,10,8,4,1,1,1,2,2,2,1
1,1,3,20,8,4,1,2,1,10,10,10,8,8,10,1,7,8,1,7
1,1,2,23,6,2,1,2,2,10,10,10,10,6,6,6,6,6,6,8
2,2,3,31,8,4,2,6,2,8,6,7,8,10,9,9,9,7,8,8
2,2,2,18,2,4,1,1,1,10,1,8,8,10,10,1,1,10,1,1
1,1,3,19,7,4,1,2,1,6,6,7,6,6,7,4,5,8,6,5
1,2,2,19,2,3,1,2,1,7,5,10,10,1,1,1,1,1,1,1
1,2,3,37,6,3,2,6,3,5,1,1,5,1,1,1,1,1,1,1
1,2,3,33,9,3,4,4,2,5,6,8,3,1,1,1,1,1,1,1
1,2,3,21,1,3,1,3,1,5,9,10,5,1,1,10,1,1,1,1
1,2,3,21,4,3,1,8,3,4,2,7,6,9,10,9,9,9,9,10
1,1,2,21,2,4,1,8,2,10,1,7,10,8,8,4,4,8,6,9
2,1,3,33,6,3,1,2,3,10,10,10,10,10,10,10,10,10,10,10
1,2,2,41,8,3,5,6,3,10,7,9,9,4,6,5,6,6,5,5
2,2,2,40,1,2,2,6,1,8,7,8,3,2,2,3,2,2,2,2
3,1,1,46,8,1,4,8,2,8,8,10,9,5,4,5,8,8,4,5
2,2,2,40,6,3,5,6,2,8,5,6,7,8,6,6,5,7,6,6
1,2,3,21,3,4,2,5,2,10,10,10,10,10,10,10,10,10,10,10
1,2,2,40,6,3,5,6,2,7,5,5,6,5,1,4,1,7,1,1
4,1,1,23,2,4,1,2,1,2,2,3,2,3,2,4,3,3,2,3
1,2,2,21,2,4,1,2,1,6,6,5,5,6,6,6,6,6,6,6
4,1,2,46,8,3,5,4,2,9,10,10,10,8,8,8,8,8,8,8
1,1,2,24,3,4,5,5,3,9,10,9,10,7,8,6,7,6,9,8
3,1,3,20,6,3,5,6,3,10,6,6,10,10,10,10,10,10,10,10
7,1,3,20,4,3,1,2,1,9,9,10,9,2,1,2,2,1,1,1
3,2,2,27,2,4,5,5,3,7,10,10,10,5,5,5,10,5,5,5
3,1,2,22,7,4,1,2,2,10,10,10,10,10,10,10,10,10,10,10
2,2,2,25,2,4,5,5,3,5,9,5,5,4,3,4,6,5,3,4
7,2,1,27,6,5,1,2,3,10,10,10,10,8,9,6,9,10,6,9
8,2,3,41,6,3,5,5,2,8,6,8,6,1,1,1,1,1,1,1
1,2,2,20,2,3,5,7,1,10,1,9,8,10,10,10,10,10,10,10
2,2,3,27,1,3,2,5,3,10,10,7,10,6,1,3,7,7,8,2
2,1,3,37,8,3,2,5,3,8,9,9,9,8,8,9,9,8,9,8
7,2,3,46,8,3,2,6,1,1,10,1,7,1,1,1,1,1,1,1
4,1,3,55,6,3,5,6,3,9,9,9,9,1,1,1,1,2,1,2
7,1,1,27,4,3,1,2,2,9,2,10,10,1,1,1,1,1,1,1
6,1,2,23,2,4,1,2,2,10,4,7,10,1,7,1,1,10,3,2
2,2,2,35,6,3,4,4,2,10,10,8,10,10,10,8,9,10,10,9
4,2,3,25,2,4,5,5,2,8,10,6,6,1,1,1,1,1,1,1
2,2,2,21,3,4,1,2,1,8,10,7,10,10,4,7,4,10,4,7
1,2,2,22,2,3,1,2,1,9,1,7,10,9,3,2,2,9,2,3
3,2,3,29,6,3,1,1,3,10,1,9,10,5,6,7,5,1,6,1
7,1,1,27,8,3,1,2,1,1,10,5,5,10,10,8,1,1,1,1
2,2,2,52,8,3,1,8,2,10,10,10,10,10,10,10,10,10,10,10
2,2,2,42,1,2,2,7,1,4,4,4,1,1,1,1,1,1,1,1
1,2,2,18,2,4,5,5,3,8,10,6,9,4,5,8,10,7,8,3
2,1,3,53,8,3,2,7,3,9,2,10,10,10,10,10,10,10,10,10
2,1,2,49,9,2,2,6,2,1,4,1,10,1,1,1,1,1,1,1
1,2,2,24,6,3,5,5,2,5,9,1,1,1,1,1,5,1,1,1
4,2,2,23,3,5,1,2,2,8,8,6,6,6,2,6,3,2,2,3
2,2,3,21,2,2,1,2,1,2,2,7,7,5,6,6,5,4,4,7
7,2,1,35,4,5,2,5,2,10,10,10,10,1,5,1,5,5,6,1
4,2,3,29,6,5,4,8,3,10,10,10,10,10,8,10,10,10,10,8
1,2,2,48,8,3,4,4,2,9,8,9,7,7,1,1,7,8,1,1
8,2,3,29,3,4,1,3,2,8,7,7,9,1,1,1,1,7,1,4
2,1,2,19,2,4,1,8,1,5,8,10,10,2,3,3,2,3,1,6
3,1,3,40,6,5,2,6,3,10,1,9,10,6,7,7,7,7,7,7
2,2,3,22,2,4,1,2,2,7,7,6,8,9,3,9,3,8,3,9
8,1,2,18,2,4,1,3,2,9,10,9,9,5,7,5,7,7,8,5
7,1,1,20,4,3,1,2,1,7,8,7,8,3,3,3,4,3,4,3
6,2,3,40,1,3,2,6,2,10,9,10,10,8,7,7,6,7,7,7
7,1,3,26,3,4,1,1,1,4,6,6,5,7,7,7,7,6,6,7
2,1,2,22,4,4,1,2,1,8,4,4,8,7,6,7,8,8,6,9
3,2,3,25,3,3,1,2,3,10,4,10,10,1,1,1,1,1,1,1
7,1,1,19,2,3,1,2,1,6,10,9,10,7,7,6,7,7,7,6
4,2,3,35,6,3,5,6,3,10,10,10,10,10,10,10,10,10,10,10
4,2,3,53,4,2,1,8,2,10,8,10,10,1,10,1,1,1,1,1
7,1,2,26,2,3,1,2,2,10,10,10,10,7,10,10,10,10,8,10
3,2,2,36,8,2,4,4,2,7,8,7,6,5,6,7,5,6,6,8
6,1,2,22,6,3,5,7,2,10,9,10,10,5,5,5,5,5,5,5
8,1,3,20,3,4,1,2,2,8,4,8,9,3,3,3,3,1,3,1
5,2,3,29,8,6,1,1,3,10,10,5,10,8,7,1,3,7,1,7
2,2,2,27,8,5,2,6,1,9,10,5,9,10,8,7,1,10,8,1
4,1,2,52,4,3,2,6,3,10,5,10,10,1,5,1,1,1,1,1
3,2,2,20,2,4,1,8,1,5,10,4,8,1,1,1,1,2,1,1
3,2,3,28,3,4,1,2,3,10,10,8,10,1,1,1,1,1,1,1
7,1,1,31,3,4,1,8,2,8,10,9,8,3,4,5,3,3,4,3
4,2,3,23,8,3,1,2,2,10,8,10,9,10,10,10,8,10,10,10
6,2,2,24,6,3,1,1,2,10,2,3,9,10,10,1,7,10,7,10
8,1,3,30,3,4,1,2,2,9,5,5,10,4,5,3,1,3,1,6
7,2,2,23,2,4,1,8,1,6,10,9,8,5,5,5,5,5,5,9
7,2,3,20,2,4,1,3,3,6,10,5,8,1,1,1,1,1,1,1
5,1,3,18,2,4,1,2,1,9,9,9,9,10,5,3,10,10,10,8
4,2,3,26,6,5,5,6,3,8,8,8,4,4,4,3,4,4,4,4
7,1,2,25,8,3,5,8,2,10,10,10,10,1,1,1,1,1,1,1
7,1,3,36,6,2,2,6,3,9,10,9,9,6,5,5,6,6,5,5
7,2,3,28,4,5,1,2,1,10,10,10,10,10,10,1,1,10,1,1
2,2,2,24,8,3,1,2,2,8,9,10,10,10,10,5,5,10,1,2
8,1,2,37,6,3,5,6,2,3,9,6,3,9,6,6,5,6,6,9
4,2,2,26,2,4,1,2,1,10,9,9,10,8,7,9,7,9,5,7
3,2,2,45,7,5,2,6,2,9,8,2,9,1,1,1,1,1,1,1
4,2,3,41,6,3,2,6,1,10,1,10,10,5,5,5,5,5,5,5
7,1,2,21,2,4,1,2,1,7,10,10,8,5,5,5,5,5,5,5
8,1,3,28,8,5,1,3,3,8,10,7,8,9,9,4,9,9,9,8
2,2,2,23,8,3,1,8,2,10,10,10,10,10,10,10,10,10,5,10
8,1,3,40,2,4,1,2,3,8,10,10,10,9,8,6,8,8,8,9
7,1,3,59,8,3,4,2,2,10,9,9,9,4,4,4,4,4,4,4
7,1,3,32,8,3,1,2,3,10,10,5,10,10,10,10,8,10,5,10
6,2,3,45,9,3,2,6,3,10,10,10,10,5,6,10,4,6,5,6
5,1,3,19,4,4,1,1,1,10,10,10,10,7,7,7,7,7,7,7
7,2,2,21,4,3,1,8,2,7,6,10,10,5,5,5,5,5,4,5
5,2,3,22,2,3,1,2,1,10,7,8,7,8,8,2,5,7,4,4
6,2,3,50,8,2,1,2,2,10,8,10,8,7,8,8,4,10,5,8
3,2,1,19,2,3,1,2,1,5,1,5,1,1,1,1,1,1,1,1
6,1,3,32,3,5,1,2,3,8,7,5,8,3,3,3,3,2,2,2
7,2,3,30,4,5,1,2,1,8,10,8,8,2,4,2,3,2,2,8
6,1,3,32,6,3,1,1,2,10,10,10,10,10,10,10,10,10,10,10
6,2,3,26,4,5,4,7,1,6,3,10,10,8,5,4,8,8,5,7
2,2,2,19,4,2,1,8,1,10,1,10,10,6,7,6,5,5,5,6
6,1,2,24,3,4,5,2,1,10,10,5,7,6,7,8,7,7,5,8
1,1,2,22,2,2,1,8,3,8,7,8,7,3,2,2,4,2,5,5
5,2,2,22,3,4,1,2,2,6,8,7,5,4,4,6,9,4,6,5
6,1,3,23,9,3,5,6,3,3,10,5,4,1,1,4,1,1,1,1
7,1,3,25,3,4,1,2,3,6,10,8,8,7,8,10,7,6,8,8
2,2,2,30,4,2,2,6,2,6,10,8,9,5,7,6,2,2,2,2
3,2,2,20,2,4,1,2,2,5,10,10,10,10,10,5,5,9,1,1
8,2,2,30,5,3,1,7,1,3,7,7,6,4,3,6,3,1,5,6
8,1,2,40,6,5,1,1,3,10,2,8,10,5,5,5,5,5,5,5
6,2,2,26,2,3,5,5,2,10,1,10,10,10,8,10,5,10,5,10
6,1,3,36,6,3,2,6,2,8,5,5,10,6,8,7,6,10,6,7
2,2,2,31,6,4,5,6,2,10,10,7,10,1,1,1,1,1,1,1
6,1,3,29,6,3,5,6,1,10,10,10,10,6,8,8,5,6,8,8
6,1,3,35,6,3,1,2,2,5,10,5,5,5,5,5,5,5,5,5
8,2,3,23,3,3,1,2,1,6,10,3,7,1,2,5,9,8,6,5
5,1,2,18,2,4,1,2,1,10,9,10,10,2,2,2,2,2,2,2
3,1,3,29,6,5,1,2,3,8,9,7,8,8,8,8,8,8,8,8
3,2,2,29,6,5,1,2,2,8,10,4,7,1,1,1,1,1,1,1
6,2,1,19,3,4,5,5,1,10,10,10,10,10,10,10,5,10,10,10
5,1,3,26,6,2,2,6,3,4,6,4,4,4,4,4,4,4,4,4
5,2,3,25,3,4,5,6,3,10,10,10,10,8,3,3,1,3,2,1
5,1,3,30,3,4,1,2,2,10,7,8,9,8,9,2,6,8,4,7
5,2,2,33,1,3,2,6,2,5,10,7,5,10,10,6,8,10,5,9
2,1,3,20,2,4,1,2,2,10,10,10,10,7,7,8,7,7,7,6
3,1,2,34,4,2,5,5,3,10,5,10,10,1,1,1,1,1,1,1
3,2,2,22,3,4,1,2,2,8,10,5,5,10,10,10,10,10,10,10
5,2,2,24,6,3,5,7,2,7,10,4,8,5,6,7,5,6,6,6
3,2,2,20,3,4,5,5,2,6,6,2,7,7,4,4,2,4,2,5
3,2,2,45,6,2,5,6,2,1,1,2,10,3,1,1,1,9,1,1
7,1,2,22,3,4,1,1,2,7,3,7,8,4,4,4,4,4,4,4
7,2,3,20,4,5,1,2,2,10,4,10,10,1,1,1,1,2,1,1
5,2,3,45,8,2,2,6,1,6,4,5,8,6,5,5,3,5,2,5
8,1,3,33,8,2,2,7,3,10,2,10,6,1,1,1,1,2,1,2
4,1,2,23,6,5,1,3,2,10,8,6,10,4,5,7,4,7,8,4
5,1,3,40,6,3,2,6,3,7,7,7,7,7,7,7,5,7,7,7
5,1,3,28,6,3,1,1,2,10,10,5,10,5,5,5,5,6,6,5
8,1,3,33,8,5,1,1,3,8,10,5,9,1,1,1,1,1,1,1
2,1,2,23,3,3,1,2,2,10,10,10,1,10,10,10,10,10,10,10
6,1,2,60,4,3,1,2,2,10,1,10,10,10,10,1,10,10,10,1
5,2,3,25,4,5,1,2,1,10,10,10,10,6,10,1,8,7,1,10
6,2,2,39,3,5,5,6,2,8,1,1,10,7,7,1,1,7,1,1
5,2,3,47,6,5,1,4,2,6,5,7,6,3,4,3,4,3,3,4
2,2,2,22,4,3,1,4,1,5,10,7,5,1,3,1,1,1,1,5
8,1,3,43,4,3,1,2,3,10,5,10,6,1,1,1,1,1,1,1
6,1,2,20,3,3,1,8,2,8,6,9,9,7,7,7,7,7,7,7
8,1,2,33,6,2,1,2,2,10,5,10,10,1,1,1,1,1,1,1
8,2,3,47,4,3,4,4,2,10,9,7,9,10,10,10,10,10,10,10
8,1,2,24,3,3,1,2,1,4,1,5,10,1,1,1,1,1,1,1
8,1,2,26,8,2,5,2,2,8,7,9,10,9,7,5,9,9,5,10
8,2,1,31,7,2,5,5,2,10,10,10,10,10,10,10,10,10,1,10
2,2,2,48,1,3,4,4,2,9,10,6,7,1,1,1,1,1,1,1
1,2,2,48,4,2,5,6,2,10,7,5,10,1,1,1,1,1,1,1
2,1,3,54,8,3,2,5,2,8,6,4,8,5,4,6,4,5,4,7
6,2,3,50,7,2,3,4,2,5,6,6,3,2,2,2,2,2,2,2
7,1,2,49,8,5,2,4,3,6,9,6,8,1,1,1,1,1,1,1
1,1,3,60,9,6,2,6,3,8,8,8,8,4,4,4,4,4,4,4
5,1,3,47,8,3,4,4,3,10,1,10,10,5,5,5,5,5,5,5
4,2,1,54,1,3,2,6,2,10,10,10,10,1,1,1,1,1,1,1
1,1,2,47,4,3,2,5,1,7,10,6,10,5,5,7,5,6,6,6
